uniqid,isocntry,d63,qb7_2,class,trusttradm,trustwebonly,trustallm,trustnom,polorient,mediatrust
60006411,CH,3,NA,MiddleClass,0,0,0,1,Center,TrustNone
60006412,CH,4,NA,UpperMiddleClass,1,0,0,0,Right,TrustTrad
60006413,CH,3,NA,MiddleClass,1,0,0,0,FarLeft,TrustTrad
90006414,CZ,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
60006415,CH,2,NA,LowerMiddle,0,0,0,1,Center,TrustNone
60006416,CH,2,NA,LowerMiddle,1,0,0,0,Left,TrustTrad
60006417,CH,3,NA,MiddleClass,1,0,0,0,Center,TrustTrad
60006418,CH,3,NA,MiddleClass,1,0,0,0,Center,TrustTrad
60006419,CH,3,NA,MiddleClass,1,0,0,0,Right,TrustTrad
60006420,CH,4,NA,UpperMiddleClass,1,0,0,0,FarLeft,TrustTrad
60006421,CH,2,NA,LowerMiddle,1,0,0,0,Right,TrustTrad
60006422,CH,3,NA,MiddleClass,1,0,0,0,Center,TrustTrad
60006423,CH,4,NA,UpperMiddleClass,1,0,0,0,FarRight,TrustTrad
60006424,CH,3,NA,MiddleClass,1,0,0,0,Center,TrustTrad
30006425,BE,3,2,MiddleClass,1,0,0,0,Center,TrustTrad
60006426,CH,3,NA,MiddleClass,1,0,0,0,Center,TrustTrad
30006427,BE,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
250006428,LV,2,1,LowerMiddle,1,0,0,0,Center,TrustTrad
290006429,NL,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
120006430,EE,3,1,MiddleClass,1,1,0,0,Center,TrustWebOnly
240006431,LU,4,2,UpperMiddleClass,1,0,0,0,Left,TrustTrad
60006432,CH,1,NA,WorkingClass,1,0,0,0,Left,TrustTrad
60006433,CH,4,NA,UpperMiddleClass,1,0,0,0,Left,TrustTrad
60006434,CH,3,NA,MiddleClass,1,0,0,0,Center,TrustTrad
90006435,CZ,4,2,UpperMiddleClass,1,0,0,0,Left,TrustTrad
60006436,CH,4,NA,UpperMiddleClass,1,0,0,0,Left,TrustTrad
60006437,CH,3,NA,MiddleClass,1,0,0,0,Center,TrustTrad
120006438,EE,2,1,LowerMiddle,1,1,0,0,Center,TrustWebOnly
120006439,EE,9,2,Other/None/DN/Refused,0,0,0,1,Center,TrustNone
60006440,CH,3,NA,MiddleClass,1,0,0,0,Center,TrustTrad
60006441,CH,3,NA,MiddleClass,1,0,0,0,Center,TrustTrad
60006442,CH,3,NA,MiddleClass,1,0,0,0,Right,TrustTrad
60006443,CH,3,NA,MiddleClass,0,0,0,1,Right,TrustNone
60006444,CH,3,NA,MiddleClass,1,0,0,0,Center,TrustTrad
60006445,CH,3,NA,MiddleClass,1,0,0,0,FarLeft,TrustTrad
60006446,CH,4,NA,UpperMiddleClass,0,0,0,1,Refused/DNt,TrustNone
120006447,EE,3,2,MiddleClass,0,1,0,0,Center,TrustWebOnly
60006448,CH,3,NA,MiddleClass,1,0,0,0,Center,TrustTrad
60006449,CH,3,NA,MiddleClass,1,1,1,0,Right,TrustAll
360006450,SI,5,1,UpperClass,1,0,0,0,Left,TrustTrad
60006451,CH,3,NA,MiddleClass,1,0,0,0,Left,TrustTrad
60006452,CH,4,NA,UpperMiddleClass,1,0,0,0,Center,TrustTrad
90006453,CZ,2,1,LowerMiddle,1,0,0,0,Left,TrustTrad
60006454,CH,3,NA,MiddleClass,1,0,0,0,Center,TrustTrad
60006455,CH,2,NA,LowerMiddle,1,0,0,0,Refused/DNt,TrustTrad
60006456,CH,3,NA,MiddleClass,1,0,0,0,Left,TrustTrad
60006457,CH,3,NA,MiddleClass,0,0,0,1,Right,TrustNone
350006458,SE,2,2,LowerMiddle,1,0,0,0,FarLeft,TrustTrad
90006459,CZ,3,1,MiddleClass,1,0,0,0,Left,TrustTrad
280006460,MT,3,2,MiddleClass,0,0,0,0,Right,Other
90006461,CZ,2,1,LowerMiddle,1,0,0,0,Left,TrustTrad
60006462,CH,3,NA,MiddleClass,1,0,0,0,Left,TrustTrad
240006463,LU,3,2,MiddleClass,1,0,0,0,FarLeft,TrustTrad
60006464,CH,3,NA,MiddleClass,1,0,0,0,Left,TrustTrad
60006465,CH,1,NA,WorkingClass,0,0,0,1,Right,TrustNone
60006466,CH,3,NA,MiddleClass,1,0,0,0,Left,TrustTrad
60006467,CH,3,NA,MiddleClass,1,0,0,0,FarLeft,TrustTrad
60006468,CH,3,NA,MiddleClass,1,0,0,0,Right,TrustTrad
60006469,CH,3,NA,MiddleClass,1,0,0,0,Center,TrustTrad
60006470,CH,3,NA,MiddleClass,1,0,0,0,Center,TrustTrad
60006471,CH,3,NA,MiddleClass,1,0,0,0,Center,TrustTrad
60006472,CH,3,NA,MiddleClass,0,0,0,1,Center,TrustNone
190006473,IE,4,2,UpperMiddleClass,1,0,0,0,Center,TrustTrad
240006474,LU,3,2,MiddleClass,1,0,0,0,Center,TrustTrad
60006475,CH,2,NA,LowerMiddle,1,0,0,0,Center,TrustTrad
60006476,CH,4,NA,UpperMiddleClass,1,0,0,0,Left,TrustTrad
60006477,CH,3,NA,MiddleClass,0,1,0,0,Center,TrustWebOnly
60006478,CH,2,NA,LowerMiddle,1,0,0,0,Left,TrustTrad
60006479,CH,4,NA,UpperMiddleClass,1,0,0,0,Left,TrustTrad
60006480,CH,3,NA,MiddleClass,1,0,0,0,Right,TrustTrad
60006481,CH,3,NA,MiddleClass,1,0,0,0,Right,TrustTrad
30006482,BE,3,2,MiddleClass,1,0,0,0,Center,TrustTrad
60006483,CH,1,NA,WorkingClass,1,0,0,0,Center,TrustTrad
60006484,CH,3,NA,MiddleClass,1,0,0,0,Left,TrustTrad
120006485,EE,1,1,WorkingClass,1,0,0,0,Center,TrustTrad
60006486,CH,4,NA,UpperMiddleClass,0,1,0,0,Refused/DNt,TrustWebOnly
60006487,CH,3,NA,MiddleClass,1,0,0,0,Center,TrustTrad
60006488,CH,3,NA,MiddleClass,1,0,0,0,Left,TrustTrad
60006489,CH,1,NA,WorkingClass,1,0,0,0,FarLeft,TrustTrad
90006490,CZ,4,1,UpperMiddleClass,0,1,0,0,Center,TrustWebOnly
60006491,CH,4,NA,UpperMiddleClass,1,0,0,0,FarLeft,TrustTrad
60006492,CH,3,NA,MiddleClass,1,0,0,0,FarLeft,TrustTrad
90006493,CZ,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
360006494,SI,3,1,MiddleClass,1,0,0,0,Left,TrustTrad
350006495,SE,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
60006496,CH,4,NA,UpperMiddleClass,0,0,0,1,Right,TrustNone
60006497,CH,3,NA,MiddleClass,1,0,0,0,Left,TrustTrad
240006498,LU,2,1,LowerMiddle,1,0,0,0,Left,TrustTrad
60006499,CH,4,NA,UpperMiddleClass,1,0,0,0,Right,TrustTrad
60006500,CH,3,NA,MiddleClass,1,0,0,0,FarLeft,TrustTrad
60006501,CH,3,NA,MiddleClass,1,0,0,0,Left,TrustTrad
60006502,CH,3,NA,MiddleClass,1,0,0,0,Left,TrustTrad
60006503,CH,3,NA,MiddleClass,1,0,0,0,FarLeft,TrustTrad
60006504,CH,4,NA,UpperMiddleClass,1,0,0,0,Right,TrustTrad
60006505,CH,3,NA,MiddleClass,1,0,0,0,Right,TrustTrad
60006506,CH,3,NA,MiddleClass,1,0,0,0,Right,TrustTrad
290006507,NL,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
60006508,CH,3,NA,MiddleClass,1,0,0,0,Right,TrustTrad
60006509,CH,3,NA,MiddleClass,1,0,0,0,Center,TrustTrad
90006510,CZ,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
190006511,IE,1,2,WorkingClass,1,1,0,0,Center,TrustWebOnly
90006512,CZ,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
90006513,CZ,3,2,MiddleClass,0,0,0,1,Center,TrustNone
280006514,MT,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
290006515,NL,5,1,UpperClass,1,0,0,0,Right,TrustTrad
90006516,CZ,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
60006517,CH,2,NA,LowerMiddle,1,0,0,0,Center,TrustTrad
60006518,CH,3,NA,MiddleClass,1,0,0,0,FarRight,TrustTrad
90006519,CZ,2,1,LowerMiddle,1,0,0,0,Left,TrustTrad
110006520,DK,3,1,MiddleClass,1,1,1,0,Right,TrustAll
230006521,LT,2,1,LowerMiddle,1,1,1,0,Center,TrustAll
60006522,CH,2,NA,LowerMiddle,1,1,1,0,Center,TrustAll
60006523,CH,3,NA,MiddleClass,1,1,1,0,Left,TrustAll
60006524,CH,2,NA,LowerMiddle,1,0,0,0,Center,TrustTrad
60006525,CH,3,NA,MiddleClass,1,0,0,0,Center,TrustTrad
90006526,CZ,3,1,MiddleClass,1,1,0,0,FarRight,TrustWebOnly
60006527,CH,2,NA,LowerMiddle,1,0,0,0,Center,TrustTrad
60006528,CH,2,NA,LowerMiddle,1,0,0,0,Left,TrustTrad
60006529,CH,3,NA,MiddleClass,1,0,0,0,Center,TrustTrad
60006530,CH,3,NA,MiddleClass,0,0,0,1,Right,TrustNone
230006531,LT,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
60006532,CH,4,NA,UpperMiddleClass,1,0,0,0,Center,TrustTrad
60006533,CH,3,NA,MiddleClass,1,0,0,0,Left,TrustTrad
90006534,CZ,3,1,MiddleClass,0,0,0,1,Center,TrustNone
60006535,CH,4,NA,UpperMiddleClass,1,0,0,0,Left,TrustTrad
60006536,CH,2,NA,LowerMiddle,1,0,0,0,Right,TrustTrad
60006537,CH,2,NA,LowerMiddle,1,0,0,0,Center,TrustTrad
60006538,CH,2,NA,LowerMiddle,1,0,0,0,Left,TrustTrad
30006539,BE,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
60006540,CH,3,NA,MiddleClass,1,0,0,0,FarLeft,TrustTrad
250006541,LV,3,1,MiddleClass,1,0,0,0,Left,TrustTrad
60006542,CH,4,NA,UpperMiddleClass,1,0,0,0,Right,TrustTrad
60006543,CH,1,NA,WorkingClass,1,0,0,0,FarLeft,TrustTrad
60006544,CH,3,NA,MiddleClass,1,0,0,0,Center,TrustTrad
90006545,CZ,3,1,MiddleClass,1,1,0,0,Center,TrustWebOnly
360006546,SI,3,1,MiddleClass,0,0,0,1,FarRight,TrustNone
60006547,CH,3,NA,MiddleClass,1,0,0,0,Left,TrustTrad
60006548,CH,3,NA,MiddleClass,1,0,0,0,Right,TrustTrad
110006549,DK,3,1,MiddleClass,1,0,0,0,Left,TrustTrad
60006550,CH,3,NA,MiddleClass,1,0,0,0,Right,TrustTrad
120006551,EE,2,1,LowerMiddle,1,0,0,0,Right,TrustTrad
130006552,GR,3,1,MiddleClass,1,1,0,0,Center,TrustWebOnly
30006553,BE,2,1,LowerMiddle,1,0,0,0,Right,TrustTrad
30006554,BE,1,2,WorkingClass,1,0,0,0,Left,TrustTrad
120006555,EE,4,2,UpperMiddleClass,1,0,0,0,Center,TrustTrad
30006556,BE,3,1,MiddleClass,1,0,0,0,Left,TrustTrad
30006557,BE,1,1,WorkingClass,1,0,0,0,Center,TrustTrad
30006558,BE,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
30006559,BE,3,1,MiddleClass,1,1,0,0,Left,TrustWebOnly
60006560,CH,3,NA,MiddleClass,1,0,0,0,FarLeft,TrustTrad
30006561,BE,3,2,MiddleClass,1,0,0,0,Right,TrustTrad
130006562,GR,2,2,LowerMiddle,1,1,0,0,Left,TrustWebOnly
30006563,BE,4,2,UpperMiddleClass,1,0,0,0,FarRight,TrustTrad
230006564,LT,2,2,LowerMiddle,1,0,0,0,Left,TrustTrad
60006565,CH,3,NA,MiddleClass,1,0,0,0,Right,TrustTrad
30006566,BE,4,1,UpperMiddleClass,1,0,0,0,Right,TrustTrad
240006567,LU,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
230006568,LT,2,1,LowerMiddle,1,0,0,0,FarRight,TrustTrad
30006569,BE,3,2,MiddleClass,1,0,0,0,Center,TrustTrad
60006570,CH,3,NA,MiddleClass,1,0,0,0,Center,TrustTrad
60006571,CH,4,NA,UpperMiddleClass,1,0,0,0,Left,TrustTrad
60006572,CH,3,NA,MiddleClass,1,0,0,0,Left,TrustTrad
60006573,CH,3,NA,MiddleClass,1,0,0,0,Left,TrustTrad
30006574,BE,4,1,UpperMiddleClass,1,0,0,0,Center,TrustTrad
60006575,CH,3,NA,MiddleClass,1,0,0,0,Refused/DNt,TrustTrad
90006576,CZ,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
60006577,CH,2,NA,LowerMiddle,1,0,0,0,Left,TrustTrad
60006578,CH,4,NA,UpperMiddleClass,1,0,0,0,Center,TrustTrad
290006579,NL,2,1,LowerMiddle,0,0,0,1,Center,TrustNone
60006580,CH,2,NA,LowerMiddle,1,0,0,0,Left,TrustTrad
230006581,LT,4,1,UpperMiddleClass,1,1,1,0,Center,TrustAll
60006582,CH,2,NA,LowerMiddle,1,0,0,0,FarLeft,TrustTrad
30006583,BE,3,2,MiddleClass,1,0,0,0,Center,TrustTrad
30006584,BE,3,2,MiddleClass,1,0,0,0,Left,TrustTrad
60006585,CH,3,NA,MiddleClass,1,0,0,0,Left,TrustTrad
60006586,CH,3,NA,MiddleClass,1,0,0,0,Left,TrustTrad
60006587,CH,2,NA,LowerMiddle,1,1,1,0,Center,TrustAll
30006588,BE,3,2,MiddleClass,1,0,0,0,Left,TrustTrad
30006589,BE,2,1,LowerMiddle,1,0,0,0,Center,TrustTrad
90006590,CZ,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
60006591,CH,4,NA,UpperMiddleClass,1,0,0,0,Right,TrustTrad
30006592,BE,1,1,WorkingClass,0,1,0,0,Center,TrustWebOnly
60006593,CH,3,NA,MiddleClass,1,0,0,0,Left,TrustTrad
60006594,CH,3,NA,MiddleClass,1,0,0,0,Left,TrustTrad
60006595,CH,3,NA,MiddleClass,1,0,0,0,Left,TrustTrad
350006596,SE,3,1,MiddleClass,1,0,0,0,Left,TrustTrad
190006597,IE,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
60006598,CH,3,NA,MiddleClass,1,0,0,0,Right,TrustTrad
60006599,CH,2,NA,LowerMiddle,1,0,0,0,Center,TrustTrad
190006600,IE,3,2,MiddleClass,1,1,1,0,Center,TrustAll
190006601,IE,3,2,MiddleClass,1,0,0,0,Left,TrustTrad
60006602,CH,4,NA,UpperMiddleClass,1,0,0,0,FarLeft,TrustTrad
60006603,CH,4,NA,UpperMiddleClass,1,0,0,0,Left,TrustTrad
60006604,CH,2,NA,LowerMiddle,1,0,0,0,Center,TrustTrad
90006605,CZ,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
30006606,BE,4,1,UpperMiddleClass,1,0,0,0,Left,TrustTrad
120006607,EE,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
30006608,BE,4,1,UpperMiddleClass,0,1,0,0,Right,TrustWebOnly
60006609,CH,3,NA,MiddleClass,1,0,0,0,Center,TrustTrad
60006610,CH,3,NA,MiddleClass,1,0,0,0,Left,TrustTrad
90006611,CZ,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
90006612,CZ,4,1,UpperMiddleClass,0,1,0,0,Right,TrustWebOnly
60006613,CH,3,NA,MiddleClass,0,0,0,1,Center,TrustNone
360006614,SI,3,2,MiddleClass,1,0,0,0,FarLeft,TrustTrad
60006615,CH,2,NA,LowerMiddle,1,0,0,0,Left,TrustTrad
30006616,BE,4,2,UpperMiddleClass,1,0,0,0,Center,TrustTrad
90006617,CZ,3,2,MiddleClass,1,0,0,0,Left,TrustTrad
90006618,CZ,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
60006619,CH,3,NA,MiddleClass,1,0,0,0,Left,TrustTrad
90006620,CZ,3,1,MiddleClass,1,0,0,0,Left,TrustTrad
120006621,EE,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
90006622,CZ,1,1,WorkingClass,0,0,0,1,Center,TrustNone
280006623,MT,3,1,MiddleClass,1,1,0,0,Center,TrustWebOnly
60006624,CH,3,NA,MiddleClass,1,0,0,0,Right,TrustTrad
30006625,BE,1,1,WorkingClass,0,0,0,1,Center,TrustNone
90006626,CZ,4,1,UpperMiddleClass,1,0,0,0,Right,TrustTrad
120006627,EE,2,1,LowerMiddle,0,1,0,0,Left,TrustWebOnly
90006628,CZ,3,1,MiddleClass,1,1,1,0,Right,TrustAll
370006629,SK,3,1,MiddleClass,1,0,0,0,Refused/DNt,TrustTrad
90006630,CZ,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
370006631,SK,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
60006632,CH,2,NA,LowerMiddle,1,0,0,0,Center,TrustTrad
90006633,CZ,3,1,MiddleClass,0,0,0,1,Center,TrustNone
360006634,SI,3,1,MiddleClass,1,0,0,0,Left,TrustTrad
90006635,CZ,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
60006636,CH,3,NA,MiddleClass,1,0,0,0,Left,TrustTrad
90006637,CZ,3,1,MiddleClass,0,0,0,1,Left,TrustNone
60006638,CH,2,NA,LowerMiddle,1,0,0,0,FarLeft,TrustTrad
30006639,BE,3,1,MiddleClass,0,0,0,1,Right,TrustNone
90006640,CZ,2,1,LowerMiddle,1,0,0,0,Right,TrustTrad
130006641,GR,2,1,LowerMiddle,0,1,0,0,Center,TrustWebOnly
370006642,SK,4,1,UpperMiddleClass,1,1,1,0,Right,TrustAll
370006643,SK,3,1,MiddleClass,0,0,0,1,Refused/DNt,TrustNone
360006644,SI,3,1,MiddleClass,1,0,0,0,Left,TrustTrad
60006645,CH,3,NA,MiddleClass,0,0,0,1,Right,TrustNone
60006646,CH,2,NA,LowerMiddle,1,1,1,0,Left,TrustAll
370006647,SK,1,1,WorkingClass,1,0,0,0,Right,TrustTrad
90006648,CZ,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
90006649,CZ,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
90006650,CZ,3,1,MiddleClass,0,0,0,1,Right,TrustNone
30006651,BE,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
90006652,CZ,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
90006653,CZ,3,1,MiddleClass,1,1,0,0,Center,TrustWebOnly
130006654,GR,3,2,MiddleClass,1,0,0,0,Center,TrustTrad
60006655,CH,3,NA,MiddleClass,1,0,0,0,Center,TrustTrad
230006656,LT,9,1,Other/None/DN/Refused,1,1,0,0,Refused/DNt,TrustWebOnly
90006657,CZ,3,1,MiddleClass,0,0,0,1,Center,TrustNone
60006658,CH,3,NA,MiddleClass,1,0,0,0,Center,TrustTrad
190006659,IE,3,2,MiddleClass,1,0,0,0,Center,TrustTrad
30006660,BE,4,1,UpperMiddleClass,0,0,0,1,Right,TrustNone
370006661,SK,3,2,MiddleClass,1,0,0,0,Right,TrustTrad
30006662,BE,2,1,LowerMiddle,1,0,0,0,FarLeft,TrustTrad
370006663,SK,2,1,LowerMiddle,1,0,0,0,FarRight,TrustTrad
60006664,CH,4,NA,UpperMiddleClass,0,0,0,1,Left,TrustNone
30006665,BE,3,1,MiddleClass,1,0,0,0,Left,TrustTrad
60006666,CH,3,NA,MiddleClass,1,0,0,0,Left,TrustTrad
90006667,CZ,1,1,WorkingClass,1,1,0,0,Center,TrustWebOnly
90006668,CZ,3,2,MiddleClass,1,0,0,0,Left,TrustTrad
250006669,LV,2,1,LowerMiddle,0,0,0,1,Right,TrustNone
120006670,EE,1,1,WorkingClass,1,0,0,0,Left,TrustTrad
60006671,CH,3,NA,MiddleClass,1,0,0,0,Left,TrustTrad
370006672,SK,4,1,UpperMiddleClass,1,0,0,0,Center,TrustTrad
90006673,CZ,5,1,UpperClass,1,0,0,0,Right,TrustTrad
130006674,GR,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
90006675,CZ,3,2,MiddleClass,1,1,1,0,Right,TrustAll
370006676,SK,2,2,LowerMiddle,1,0,0,0,Center,TrustTrad
30006677,BE,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
60006678,CH,3,NA,MiddleClass,0,0,0,1,FarRight,TrustNone
90006679,CZ,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
60006680,CH,3,NA,MiddleClass,1,0,0,0,Left,TrustTrad
90006681,CZ,1,1,WorkingClass,1,0,0,0,Center,TrustTrad
30006682,BE,3,1,MiddleClass,1,0,0,0,Refused/DNt,TrustTrad
90006683,CZ,3,1,MiddleClass,1,1,0,0,FarLeft,TrustWebOnly
90006684,CZ,2,1,LowerMiddle,1,0,0,0,Center,TrustTrad
130006685,GR,4,1,UpperMiddleClass,0,1,0,0,Center,TrustWebOnly
110006686,DK,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
130006687,GR,3,2,MiddleClass,1,0,0,0,Right,TrustTrad
60006688,CH,3,NA,MiddleClass,1,0,0,0,Center,TrustTrad
130006689,GR,3,1,MiddleClass,0,0,0,1,Left,TrustNone
130006690,GR,4,1,UpperMiddleClass,0,1,0,0,Center,TrustWebOnly
30006691,BE,4,1,UpperMiddleClass,1,0,0,0,Left,TrustTrad
60006692,CH,3,NA,MiddleClass,1,0,0,0,FarRight,TrustTrad
30006693,BE,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
30006694,BE,1,1,WorkingClass,1,1,0,0,FarLeft,TrustWebOnly
90006695,CZ,4,1,UpperMiddleClass,1,0,0,0,Center,TrustTrad
90006696,CZ,2,1,LowerMiddle,1,0,0,0,Right,TrustTrad
60006697,CH,4,NA,UpperMiddleClass,1,0,0,0,FarLeft,TrustTrad
90006698,CZ,3,2,MiddleClass,1,0,0,0,Center,TrustTrad
60006699,CH,3,NA,MiddleClass,1,0,0,0,Left,TrustTrad
90006700,CZ,3,2,MiddleClass,1,0,0,0,Right,TrustTrad
90006701,CZ,2,1,LowerMiddle,0,0,0,1,Center,TrustNone
90006702,CZ,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
90006703,CZ,4,2,UpperMiddleClass,1,0,0,0,Right,TrustTrad
60006704,CH,4,NA,UpperMiddleClass,1,0,0,0,FarLeft,TrustTrad
60006705,CH,4,NA,UpperMiddleClass,1,0,0,0,Left,TrustTrad
90006706,CZ,3,1,MiddleClass,0,0,0,1,Right,TrustNone
90006707,CZ,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
90006708,CZ,3,1,MiddleClass,1,1,1,0,FarRight,TrustAll
60006709,CH,3,NA,MiddleClass,1,0,0,0,FarLeft,TrustTrad
90006710,CZ,3,1,MiddleClass,0,0,0,1,Center,TrustNone
60006711,CH,3,NA,MiddleClass,1,0,0,0,Center,TrustTrad
130006712,GR,1,1,WorkingClass,1,0,0,0,Center,TrustTrad
90006713,CZ,4,1,UpperMiddleClass,1,0,0,0,Left,TrustTrad
60006714,CH,3,NA,MiddleClass,1,0,0,0,Center,TrustTrad
130006715,GR,3,2,MiddleClass,0,0,0,1,Center,TrustNone
230006716,LT,2,1,LowerMiddle,1,1,1,0,Center,TrustAll
90006717,CZ,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
90006718,CZ,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
30006719,BE,2,1,LowerMiddle,1,0,0,0,Center,TrustTrad
90006720,CZ,4,1,UpperMiddleClass,1,0,0,0,Right,TrustTrad
90006721,CZ,3,1,MiddleClass,1,1,1,0,Right,TrustAll
90006722,CZ,3,2,MiddleClass,1,0,0,0,Center,TrustTrad
60006723,CH,3,NA,MiddleClass,1,0,0,0,Center,TrustTrad
90006724,CZ,4,1,UpperMiddleClass,1,0,0,0,Left,TrustTrad
30006725,BE,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
360006726,SI,3,2,MiddleClass,0,0,0,1,Left,TrustNone
60006727,CH,3,NA,MiddleClass,1,0,0,0,Center,TrustTrad
90006728,CZ,2,1,LowerMiddle,1,0,0,0,Right,TrustTrad
370006729,SK,2,1,LowerMiddle,1,0,0,0,FarLeft,TrustTrad
90006730,CZ,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
130006731,GR,4,1,UpperMiddleClass,0,1,0,0,Center,TrustWebOnly
60006732,CH,4,NA,UpperMiddleClass,1,0,0,0,Center,TrustTrad
370006733,SK,3,1,MiddleClass,0,0,0,1,Center,TrustNone
60006734,CH,3,NA,MiddleClass,0,0,0,1,Right,TrustNone
90006735,CZ,3,1,MiddleClass,1,1,1,0,FarRight,TrustAll
90006736,CZ,4,1,UpperMiddleClass,0,0,0,1,Center,TrustNone
60006737,CH,4,NA,UpperMiddleClass,1,0,0,0,Left,TrustTrad
90006738,CZ,2,1,LowerMiddle,0,1,0,0,FarLeft,TrustWebOnly
90006739,CZ,3,1,MiddleClass,1,1,0,0,FarRight,TrustWebOnly
130006740,GR,3,2,MiddleClass,0,1,0,0,Center,TrustWebOnly
90006741,CZ,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
60006742,CH,2,NA,LowerMiddle,1,0,0,0,FarLeft,TrustTrad
30006743,BE,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
90006744,CZ,2,1,LowerMiddle,0,0,0,1,Center,TrustNone
130006745,GR,3,2,MiddleClass,1,0,0,0,Refused/DNt,TrustTrad
90006746,CZ,2,1,LowerMiddle,1,0,0,0,Left,TrustTrad
30006747,BE,4,2,UpperMiddleClass,1,0,0,0,Left,TrustTrad
110006748,DK,1,2,WorkingClass,1,0,0,0,Right,TrustTrad
30006749,BE,1,1,WorkingClass,0,0,0,1,Center,TrustNone
30006750,BE,3,2,MiddleClass,1,0,0,0,Right,TrustTrad
60006751,CH,3,NA,MiddleClass,1,0,0,0,Right,TrustTrad
30006752,BE,3,1,MiddleClass,1,1,1,0,Center,TrustAll
90006753,CZ,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
90006754,CZ,3,1,MiddleClass,1,0,0,0,FarRight,TrustTrad
90006755,CZ,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
90006756,CZ,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
90006757,CZ,2,1,LowerMiddle,0,0,0,1,Right,TrustNone
90006758,CZ,3,1,MiddleClass,1,0,0,0,FarLeft,TrustTrad
90006759,CZ,4,2,UpperMiddleClass,1,0,0,0,Right,TrustTrad
60006760,CH,3,NA,MiddleClass,1,0,0,0,Left,TrustTrad
60006761,CH,3,NA,MiddleClass,1,0,0,0,Right,TrustTrad
90006762,CZ,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
370006763,SK,2,1,LowerMiddle,1,0,0,0,Right,TrustTrad
90006764,CZ,3,2,MiddleClass,1,0,0,0,Right,TrustTrad
250006765,LV,2,2,LowerMiddle,0,0,0,1,Center,TrustNone
90006766,CZ,3,1,MiddleClass,0,0,0,1,FarRight,TrustNone
30006767,BE,1,1,WorkingClass,1,0,0,0,Center,TrustTrad
370006768,SK,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
120006769,EE,1,1,WorkingClass,1,1,0,0,Center,TrustWebOnly
90006770,CZ,5,1,UpperClass,0,0,0,1,FarRight,TrustNone
290006771,NL,3,1,MiddleClass,1,0,0,0,Center,TrustTrad
30006772,BE,3,2,MiddleClass,1,0,0,0,FarLeft,TrustTrad
120006773,EE,2,1,LowerMiddle,1,0,0,0,Right,TrustTrad
90006774,CZ,2,2,LowerMiddle,1,1,0,0,Left,TrustWebOnly
60006775,CH,2,NA,LowerMiddle,1,0,0,0,Center,TrustTrad
30006776,BE,3,2,MiddleClass,1,0,0,0,Left,TrustTrad
60006777,CH,3,NA,MiddleClass,0,0,0,1,Center,TrustNone
30006778,BE,3,2,MiddleClass,1,0,0,0,Left,TrustTrad
90006779,CZ,3,1,MiddleClass,1,0,0,0,Right,TrustTrad
