,uniqid,d63,class,polorient,mediatrust,trustnom,trustallm,trustwebonly,trusttradm,qa6a_1,qa6a_2,qa6a_5,qa6a_3,qa6at,qa6a_4,d63,d15a,d1r2,d1,d11r1,d10,d1r1,d15a_r1,d11,d11r2,d15a_r2
582,425747684,1,UpperClass,FarRight,TrustNone,1,0,0,0,3,2,3,3,3,3,1,12,9,6,4,1,2,3,100,2,4
583,368809841,3,WorkingClass,FarRight,TrustAll,0,0,0,1,1,1,1,2,2,3,3,1,4,7,1,1,2,3,44,4,2
584,221934990,1,MiddleClass,Left,TrustTrad,0,0,0,1,2,2,1,2,2,1,1,13,2,3,2,1,3,3,65,3,3
585,367685730,3,LowerMiddle,Center,TrustTrad,0,0,0,1,1,2,1,1,1,2,3,0,3,4,2,1,1,3,70,5,6
586,278740180,3,LowerMiddle,FarRight,Other,0,0,0,0,2,1,1,1,2,1,3,-1,5,5,3,1,1,2,78,1,3
587,308935726,2,WorkingClass,Center,TrustNone,0,0,0,0,1,1,2,3,3,2,2,3,4,10,4,2,3,3,78,4,4
588,428775262,1,WorkingClass,Center,Other,1,0,0,0,2,2,2,2,2,3,1,13,3,5,2,1,2,3,101,5,6
589,123258100,3,LowerMiddle,FarLeft,TrustWebOnly,0,0,0,1,2,2,1,2,3,2,3,15,3,10,3,1,2,3,30,4,7
590,304069907,1,MiddleClass,Center,Other,0,0,0,0,2,2,3,2,3,3,1,0,5,9,3,1,3,2,53,2,6
591,165657944,3,MiddleClass,Left,TrustAll,0,0,0,1,1,1,1,1,2,1,3,12,3,9,2,2,3,3,21,5,7
592,375705658,3,MiddleClass,Left,TrustTrad,0,0,0,1,2,1,2,1,2,2,3,5,2,3,1,1,2,1,68,4,3
593,370574860,3,WorkingClass,Left,TrustNone,0,0,0,1,1,2,1,1,2,1,3,11,2,5,4,2,2,2,60,5,3
594,429128240,3,LowerMiddle,Right,TrustNone,0,0,0,0,2,2,2,1,2,2,3,1,3,6,4,1,3,3,71,5,4
595,362349970,3,MiddleClass,Left,TrustTrad,0,0,0,1,1,1,2,1,3,2,3,4,4,5,1,1,1,2,25,4,1
596,393020069,1,WorkingClass,Center,TrustAll,0,0,0,0,3,2,2,1,3,2,1,19,2,1,4,1,3,3,88,2,3
597,454778097,2,MiddleClass,Left,TrustNone,0,0,0,1,1,1,2,1,1,2,2,5,4,6,2,2,1,3,96,4,8
598,294206254,4,MiddleClass,FarLeft,TrustTrad,0,0,0,1,3,2,2,1,1,1,4,2,3,2,3,1,2,3,50,5,6
599,170408640,3,MiddleClass,Center,TrustTrad,0,0,0,1,2,1,1,3,2,2,3,14,2,5,2,1,1,3,78,2,6
600,181560630,1,WorkingClass,FarRight,TrustWebOnly,1,0,0,0,2,2,3,2,3,2,1,3,2,10,3,1,3,1,93,5,6
601,415402062,4,MiddleClass,Right,TrustAll,0,0,0,1,1,1,2,1,2,2,4,4,2,1,1,1,2,2,36,5,5
602,108926620,3,MiddleClass,Center,TrustAll,0,0,0,1,1,1,1,2,2,1,3,12,2,3,3,1,1,1,63,2,5
603,317046050,3,LowerMiddle,Left,TrustAll,0,0,0,1,2,1,1,1,2,2,3,0,1,4,1,1,3,2,60,5,2
604,300328862,3,WorkingClass,Left,TrustTrad,0,0,0,1,1,1,1,1,1,1,3,13,2,3,4,1,1,1,38,2,3
605,415161733,1,WorkingClass,FarLeft,TrustWebOnly,0,0,0,0,1,1,2,1,3,2,1,0,2,1,4,1,1,3,64,4,2
606,258165060,3,MiddleClass,Center,TrustNone,0,0,0,1,2,2,1,1,2,2,3,2,4,8,3,1,3,2,60,2,4
607,453080270,1,MiddleClass,Right,TrustNone,1,0,0,1,3,2,3,2,2,3,1,16,3,5,3,1,3,2,62,3,4
608,431044718,3,MiddleClass,Left,TrustTrad,0,0,0,1,1,1,2,1,1,1,3,2,1,6,2,1,2,2,33,3,2
609,-463312,3,WorkingClass,Left,TrustNone,0,0,0,1,1,2,2,2,2,1,3,12,2,9,3,1,1,3,64,2,4
610,83635724,3,MiddleClass,FarRight,TrustNone,0,0,0,1,2,2,1,1,3,1,3,1,9,5,2,1,3,1,44,2,7
611,404660759,3,UpperMiddleClass,Left,TrustTrad,0,0,0,1,1,1,2,1,2,1,3,14,5,7,1,2,1,3,17,2,3
612,342617553,3,LowerMiddle,Left,TrustTrad,0,0,0,1,1,1,2,1,1,1,3,0,1,9,3,1,1,1,41,4,1
613,200805344,3,LowerMiddle,Left,TrustTrad,0,0,0,1,1,1,1,1,2,1,3,15,2,3,1,1,3,3,66,4,3
614,13030937,1,WorkingClass,Left,Other,0,0,0,0,2,2,2,1,2,2,1,4,1,8,2,1,2,2,75,1,7
615,16670308,3,WorkingClass,Center,TrustAll,0,0,0,0,2,2,1,2,3,1,3,0,3,4,3,1,1,2,100,5,8
616,274537692,1,WorkingClass,Refused/DNt,TrustWebOnly,1,0,0,0,2,2,3,2,3,3,1,19,4,5,4,2,2,3,93,1,5
617,208875410,3,UpperMiddleClass,Left,TrustAll,0,0,0,1,2,2,1,1,2,1,3,8,3,7,4,1,2,3,37,2,1
618,266054470,3,MiddleClass,Left,TrustAll,0,0,0,1,2,1,1,1,2,1,3,0,3,5,2,1,3,2,39,4,2
619,122085014,4,UpperMiddleClass,Left,TrustTrad,0,0,0,1,1,1,2,1,1,1,4,9,2,8,3,1,3,2,55,1,4
620,253022876,3,LowerMiddle,Center,TrustAll,0,0,0,1,1,2,2,1,2,1,3,3,4,6,3,2,3,2,22,2,7
621,295206829,1,MiddleClass,Refused/DNt,TrustNone,1,0,0,0,2,2,2,2,2,1,1,3,3,10,4,1,2,3,59,6,6
622,366496252,4,MiddleClass,Refused/DNt,TrustTrad,0,0,0,0,2,2,2,2,2,1,4,4,2,3,2,1,2,2,55,2,6
623,378087838,3,LowerMiddle,Left,TrustNone,0,0,0,0,2,1,1,1,2,1,3,0,3,4,1,1,2,2,98,2,2
624,182887747,3,UpperMiddleClass,Center,TrustAll,0,0,0,1,1,1,1,1,2,1,3,0,3,98,3,1,1,2,57,4,2
625,220978188,2,MiddleClass,FarRight,TrustNone,0,0,0,0,2,1,2,1,2,2,2,0,9,3,3,1,1,3,92,5,3
626,122685402,3,MiddleClass,Left,TrustTrad,0,0,0,1,1,1,2,1,2,1,3,9,4,4,3,1,1,3,65,6,1
627,112301495,3,WorkingClass,Center,Other,1,0,0,1,2,2,2,1,3,1,3,3,2,98,4,1,2,3,69,5,7
628,447189388,3,MiddleClass,Left,TrustTrad,0,0,0,1,1,2,2,2,2,1,3,0,2,3,3,1,9,1,36,1,2
629,428918788,1,WorkingClass,Right,TrustWebOnly,1,0,0,0,2,2,1,2,3,2,1,16,3,3,2,2,3,2,40,5,7
630,54451013,3,MiddleClass,Left,TrustTrad,0,0,0,0,1,1,2,2,1,2,3,17,2,6,2,2,3,2,104,3,3
631,184781931,3,WorkingClass,Left,TrustWebOnly,0,0,0,1,2,1,1,1,2,1,3,11,3,8,3,1,1,3,43,5,6
632,179134269,3,MiddleClass,Left,TrustTrad,0,0,0,1,1,1,2,1,2,1,3,9,3,3,3,1,2,3,60,4,2
633,55828460,2,WorkingClass,Left,TrustTrad,0,0,0,1,1,3,2,2,1,2,2,10,2,2,3,2,1,2,95,6,1
634,482022961,3,UpperMiddleClass,Right,TrustTrad,0,0,0,1,2,2,2,2,3,1,3,5,2,5,4,1,2,3,77,2,7
635,199546036,3,WorkingClass,Left,TrustAll,0,0,0,1,1,2,2,1,2,1,3,13,2,3,3,1,3,2,65,2,1
636,365160655,3,WorkingClass,FarRight,TrustAll,0,0,0,1,2,2,1,2,3,2,3,0,2,97,3,1,2,2,96,5,6
637,399006782,3,WorkingClass,Refused/DNt,TrustNone,1,0,0,1,2,2,1,1,3,2,3,18,5,3,4,2,9,3,42,2,6
638,143060282,3,MiddleClass,Center,TrustAll,0,0,0,1,1,2,2,1,3,1,3,11,3,5,1,1,1,3,36,5,4
639,243069225,3,MiddleClass,FarLeft,TrustTrad,0,0,0,1,2,2,3,1,3,2,3,16,9,5,1,1,1,2,53,4,2
640,337285586,3,UpperMiddleClass,Left,TrustTrad,0,0,0,1,1,1,1,1,2,1,3,12,1,1,2,2,3,3,40,5,2
641,-16833203,3,MiddleClass,Center,TrustAll,0,0,0,1,2,1,2,2,2,1,3,8,2,8,2,1,3,3,34,4,5
642,209390225,3,MiddleClass,FarLeft,TrustTrad,0,0,0,1,1,1,2,1,2,1,3,0,2,7,2,1,1,1,40,5,6
643,371262591,2,MiddleClass,Left,TrustTrad,0,0,0,1,1,1,2,1,2,1,2,13,2,7,3,1,3,3,43,3,1
644,485489329,3,WorkingClass,Center,TrustTrad,0,0,0,0,1,1,1,1,2,2,3,0,3,6,3,2,3,2,68,5,4
645,371757537,1,WorkingClass,Center,TrustNone,0,0,0,1,2,2,1,3,2,2,1,13,1,3,2,1,1,2,95,5,8
646,288315763,1,MiddleClass,Refused/DNt,Other,0,0,0,0,2,1,2,2,3,2,1,3,3,5,2,1,9,3,96,4,7
647,92504959,3,UpperMiddleClass,Left,TrustTrad,0,0,0,1,1,1,2,1,1,2,3,12,3,4,1,1,3,2,27,2,2
648,166108303,3,WorkingClass,Center,TrustNone,0,0,0,0,1,2,2,2,3,2,3,3,4,97,4,2,3,3,98,6,4
649,466010127,3,MiddleClass,Left,TrustTrad,0,0,0,1,1,1,1,1,2,1,3,9,3,9,3,1,3,2,33,2,3
650,-22382323,3,LowerMiddle,Center,TrustNone,0,0,1,0,2,2,1,2,3,2,3,11,2,7,4,1,9,3,77,2,4
651,282496748,3,UpperMiddleClass,Center,TrustAll,0,0,0,1,1,1,1,1,2,1,3,1,3,98,1,1,1,2,77,5,6
652,107753809,3,MiddleClass,Right,TrustNone,0,0,0,1,1,1,1,1,1,1,3,0,2,2,3,1,3,1,74,2,4
653,440721472,3,MiddleClass,Refused/DNt,TrustNone,0,0,0,1,1,1,3,1,3,1,3,18,4,6,1,2,1,1,59,5,1
654,-34601335,1,WorkingClass,FarRight,TrustNone,1,0,0,0,2,2,3,3,3,2,1,12,9,10,4,1,9,3,71,5,7
655,421088944,2,UpperMiddleClass,Left,TrustTrad,0,0,0,1,1,2,2,1,2,1,2,1,1,1,2,1,2,2,89,3,2
656,479886450,1,MiddleClass,Right,TrustTrad,0,0,0,1,2,2,2,2,2,1,1,-1,4,10,4,1,3,2,92,6,3
657,139003391,3,MiddleClass,Right,TrustTrad,0,0,0,1,1,1,1,1,1,1,3,9,2,2,3,1,2,2,70,3,5
658,469529201,3,UpperClass,Center,TrustTrad,0,0,0,1,2,2,2,1,1,1,3,2,4,4,1,1,1,3,75,3,3
659,470345029,3,WorkingClass,Right,TrustAll,0,0,0,1,2,2,1,1,2,3,3,1,2,4,3,1,1,2,26,5,4
660,413401047,3,WorkingClass,Left,TrustWebOnly,0,0,0,1,1,2,2,2,2,1,3,9,2,1,3,2,1,2,59,2,5
661,67190070,3,LowerMiddle,Right,TrustTrad,0,0,0,1,1,1,1,1,2,1,3,4,1,4,4,1,1,2,30,6,7
662,-4976295,3,MiddleClass,Left,TrustTrad,0,0,0,1,2,1,2,1,2,2,3,10,4,5,1,1,1,1,41,2,2
663,266745695,1,WorkingClass,Refused/DNt,TrustTrad,0,0,0,1,1,2,2,1,2,1,1,3,1,6,3,1,2,3,21,1,2
664,440919748,3,MiddleClass,Left,Other,0,0,0,1,2,2,1,1,2,2,3,20,2,6,2,1,2,2,30,2,7
665,253664074,3,MiddleClass,Center,TrustNone,0,0,0,0,1,2,1,1,2,2,3,3,4,4,3,1,3,3,84,4,8
666,128660138,3,UpperMiddleClass,FarRight,TrustNone,0,0,0,1,2,2,3,2,2,1,3,1,3,1,1,1,1,3,60,6,5
667,96929174,3,LowerMiddle,FarRight,TrustWebOnly,0,0,0,0,1,2,3,1,2,2,3,0,9,5,3,2,3,3,30,3,7
668,51034030,1,MiddleClass,Center,TrustTrad,0,0,0,1,1,1,2,1,2,1,1,3,4,3,2,1,1,2,68,4,3
669,402018815,3,MiddleClass,Left,TrustTrad,0,0,0,1,1,1,2,1,2,1,3,3,4,3,3,1,2,2,66,1,7
670,331112712,3,MiddleClass,Center,TrustTrad,0,0,0,1,1,2,1,2,2,1,3,16,9,7,3,1,3,3,58,6,3
671,469674030,1,MiddleClass,FarLeft,Other,0,0,0,1,2,2,1,1,1,1,1,4,4,4,2,1,1,3,76,5,7
672,271282091,3,WorkingClass,Left,TrustTrad,0,0,0,0,3,1,1,2,1,1,3,3,3,6,3,1,3,3,36,4,6
673,104171388,3,MiddleClass,Center,TrustTrad,0,0,0,1,1,1,1,1,2,1,3,10,1,2,2,1,3,2,42,1,1
674,388957231,2,MiddleClass,Left,TrustTrad,0,0,0,1,1,1,2,1,1,2,2,16,2,3,3,1,1,1,29,6,4
675,141597982,3,UpperMiddleClass,Right,TrustTrad,0,0,0,1,2,2,2,1,2,3,3,2,4,1,3,1,1,1,86,4,1
676,202188687,2,LowerMiddle,Right,TrustAll,0,0,0,1,1,2,2,1,2,1,2,12,2,1,3,1,2,2,70,2,6
677,478234685,3,UpperMiddleClass,Left,TrustTrad,0,0,0,1,1,1,2,1,2,2,3,15,2,5,2,1,3,3,64,5,3
678,354207514,3,MiddleClass,Left,TrustWebOnly,0,0,0,1,1,2,2,1,3,2,3,15,2,1,3,2,2,3,93,4,4
679,407461102,8,MiddleClass,Left,TrustTrad,0,0,0,1,1,1,2,1,2,1,8,17,2,2,3,2,3,2,14,6,3
680,258887029,3,UpperMiddleClass,Left,TrustAll,0,0,1,1,1,1,2,1,1,1,3,16,3,6,4,1,1,2,79,1,2
681,93463492,3,MiddleClass,Left,TrustTrad,0,0,0,1,1,1,1,1,2,1,3,14,2,4,2,1,3,2,54,3,2
682,467896678,3,UpperMiddleClass,Left,TrustAll,0,0,0,1,2,2,2,1,1,2,3,3,9,2,4,2,3,3,93,5,8
683,271946339,3,LowerMiddle,Left,TrustAll,0,0,0,1,1,1,2,2,2,2,3,4,1,6,3,2,3,2,48,2,3
684,340571101,3,MiddleClass,Left,TrustAll,0,0,0,1,1,1,1,1,2,1,3,12,3,4,1,1,3,2,40,5,4
685,420546289,3,MiddleClass,Left,TrustNone,0,0,0,0,2,3,1,3,2,2,3,0,9,4,3,2,1,2,88,2,5
686,435246702,3,MiddleClass,Center,TrustAll,0,0,0,1,2,1,2,1,2,1,3,13,4,2,4,1,3,3,77,2,2
687,363141523,1,WorkingClass,Center,Other,0,0,0,0,3,2,1,2,3,1,1,3,3,98,3,2,9,3,96,5,6
688,444509510,1,WorkingClass,Left,TrustNone,1,0,0,0,3,2,2,2,3,2,1,2,5,98,3,1,9,3,65,5,7
689,283196711,3,MiddleClass,Left,TrustTrad,0,0,0,1,1,1,1,1,2,2,3,2,2,5,2,1,1,3,59,5,2
690,488805213,3,WorkingClass,Left,TrustTrad,0,0,0,1,2,1,1,1,2,1,3,4,2,8,4,1,2,3,70,5,1
691,477594312,3,WorkingClass,Left,TrustTrad,0,0,0,0,3,2,2,2,3,2,3,16,9,98,3,1,3,3,69,6,2
692,447646915,2,LowerMiddle,Center,TrustNone,0,0,0,1,1,1,3,2,3,1,2,3,2,9,4,2,3,3,64,4,6
693,81642900,3,UpperMiddleClass,Refused/DNt,TrustNone,0,0,0,1,3,1,1,1,2,2,3,0,4,6,2,1,2,3,79,4,4
694,443966850,3,WorkingClass,Right,TrustTrad,1,0,0,1,2,3,3,1,3,3,3,4,9,4,3,1,1,3,89,3,4
695,466134800,3,UpperMiddleClass,Left,TrustAll,0,0,0,1,1,1,2,2,2,2,3,12,3,7,1,1,3,3,64,6,6
696,102204874,3,LowerMiddle,Center,TrustNone,0,0,0,0,2,1,3,2,3,1,3,17,9,9,3,2,2,3,47,4,1
697,112790771,3,UpperClass,Center,TrustTrad,0,0,0,1,1,1,1,1,2,2,3,17,4,5,4,1,1,3,56,2,6
698,110781217,3,MiddleClass,Center,TrustAll,0,0,0,1,1,1,2,1,1,1,3,19,2,98,2,1,2,2,67,2,3
699,480721699,3,MiddleClass,Right,TrustTrad,0,0,0,1,1,1,1,1,1,1,3,1,2,6,3,1,1,2,54,3,8
700,452503354,3,MiddleClass,FarRight,TrustNone,0,0,0,0,2,2,1,2,3,3,3,3,9,98,2,2,2,3,64,5,6
701,312467923,1,WorkingClass,Left,TrustNone,0,0,0,1,2,2,2,2,3,2,1,0,9,9,2,1,9,1,62,1,3
702,234476827,2,UpperMiddleClass,Left,TrustTrad,0,0,0,1,2,1,2,1,2,1,2,3,2,9,3,1,3,1,25,5,4
703,117927830,3,MiddleClass,Right,TrustTrad,0,0,0,0,1,2,1,1,3,1,3,0,2,6,3,2,1,2,67,4,3
704,442082992,3,LowerMiddle,Left,TrustNone,0,0,0,1,1,1,1,2,2,1,3,19,2,3,3,1,3,2,56,5,7
705,86671024,2,WorkingClass,Refused/DNt,TrustNone,0,0,0,0,2,1,3,2,2,3,2,20,9,1,3,2,1,2,79,4,8
706,475604944,1,WorkingClass,Center,TrustAll,0,0,0,0,2,1,2,2,3,2,1,20,2,6,3,1,3,3,47,4,7
707,-12734114,3,MiddleClass,Center,TrustTrad,1,0,0,1,2,1,1,2,2,2,3,4,2,9,2,2,1,3,40,5,4
708,209881771,3,WorkingClass,Right,TrustNone,0,0,0,0,2,2,2,2,3,2,3,4,4,2,1,1,3,2,95,1,4
709,81322155,3,MiddleClass,Center,TrustTrad,0,0,0,1,2,1,1,1,2,1,3,3,2,4,3,2,3,3,17,3,4
710,155115074,2,UpperMiddleClass,Left,TrustTrad,0,0,0,1,1,1,2,1,2,1,2,3,2,4,4,1,3,3,63,2,7
711,333064428,3,LowerMiddle,Left,TrustNone,0,0,0,1,1,1,2,1,2,2,3,9,2,9,1,1,2,3,77,4,4
712,298077019,3,MiddleClass,FarRight,TrustAll,0,0,0,1,2,2,2,1,3,1,3,0,4,8,2,1,1,3,92,2,1
713,43965401,3,MiddleClass,Center,TrustTrad,0,0,0,1,1,1,1,1,1,1,3,5,1,98,3,1,1,2,32,4,5
714,114863018,1,WorkingClass,Left,TrustNone,1,0,0,0,2,2,1,2,3,3,1,4,9,3,3,1,9,3,62,6,8
715,375666936,1,LowerMiddle,Left,TrustNone,1,0,0,0,2,2,3,3,3,3,1,0,2,9,3,1,9,3,100,2,4
716,177005959,3,WorkingClass,Left,TrustNone,0,0,0,0,1,2,1,1,3,2,3,0,3,9,3,1,3,1,60,2,6
717,273150415,1,WorkingClass,Left,TrustWebOnly,0,0,0,0,2,3,2,2,3,1,1,0,3,1,3,2,2,3,77,5,7
718,301779811,3,MiddleClass,Left,TrustTrad,0,0,0,1,1,1,1,1,1,1,3,14,3,2,2,1,1,2,39,6,3
719,427663926,2,LowerMiddle,Center,TrustTrad,0,0,0,1,1,1,1,1,2,1,2,2,4,6,2,1,3,1,37,2,5
720,409771201,1,MiddleClass,Left,TrustTrad,0,0,0,0,3,1,1,2,2,1,1,11,1,9,2,1,3,2,64,4,5
721,114761146,3,MiddleClass,Left,TrustNone,0,0,0,1,1,2,1,1,2,1,3,-1,2,10,4,1,2,3,79,6,4
722,194270374,1,LowerMiddle,FarRight,TrustTrad,0,0,0,1,1,1,2,1,2,2,1,0,9,8,3,1,3,2,27,5,2
723,486546195,2,UpperClass,Center,TrustNone,0,0,0,0,3,2,1,2,2,2,2,19,2,6,3,1,2,3,42,2,7
724,313625307,3,MiddleClass,Left,TrustNone,1,0,0,1,3,2,2,2,2,3,3,15,2,9,3,2,3,3,61,6,5
725,41098560,2,LowerMiddle,Left,TrustAll,0,0,0,1,1,2,2,2,2,2,2,12,4,8,2,1,1,1,62,4,2
726,388656058,3,MiddleClass,Left,TrustAll,0,0,0,1,1,1,2,1,2,1,3,3,3,7,2,1,1,2,49,5,2
727,334398901,3,MiddleClass,Right,TrustNone,0,0,1,0,1,1,3,1,2,1,3,2,3,3,4,1,1,1,56,1,3
728,388065439,3,LowerMiddle,Left,TrustTrad,0,0,0,1,1,1,2,1,2,1,3,10,3,5,3,1,1,2,70,5,8
729,65596711,1,UpperClass,FarLeft,TrustNone,0,0,0,0,1,2,3,2,3,3,1,3,9,97,4,1,9,3,58,6,1
730,430479122,3,MiddleClass,Left,TrustAll,0,0,0,1,2,1,2,1,1,1,3,16,3,5,4,1,3,1,59,3,4
731,246383625,3,MiddleClass,Left,TrustTrad,0,0,0,1,2,1,2,2,2,1,3,14,5,4,2,1,9,1,82,3,4
732,233165004,3,WorkingClass,Left,TrustTrad,0,0,0,1,1,1,2,1,2,1,3,10,2,4,3,1,3,2,15,2,3
733,484598941,3,UpperMiddleClass,Left,TrustNone,0,0,0,1,2,1,2,1,2,1,3,10,3,7,3,1,2,1,32,6,2
734,460771179,3,WorkingClass,FarLeft,TrustAll,0,0,0,1,1,1,1,1,2,3,3,17,4,3,3,1,3,2,39,4,1
735,306332376,3,LowerMiddle,Center,TrustTrad,0,0,0,1,1,1,1,1,2,2,3,3,3,5,4,1,2,1,58,5,4
736,377084820,3,WorkingClass,Left,TrustNone,0,0,0,1,2,2,2,2,3,1,3,3,4,2,4,1,1,3,98,6,6
737,330905449,3,UpperMiddleClass,FarRight,TrustTrad,0,0,0,1,1,1,1,1,2,1,3,13,2,6,2,1,1,3,80,1,3
738,86853971,2,MiddleClass,FarLeft,TrustAll,0,0,0,1,1,2,2,3,2,2,2,3,5,9,3,1,3,3,32,5,4
739,415357535,3,MiddleClass,Left,TrustTrad,0,0,0,1,1,1,1,2,2,1,3,11,2,5,3,2,1,2,66,3,5
740,249045750,3,MiddleClass,Left,TrustAll,0,0,0,1,2,1,2,1,3,1,3,4,1,4,3,1,3,3,39,6,4
741,70142534,2,UpperMiddleClass,FarLeft,TrustTrad,1,0,0,1,2,1,1,2,3,2,2,4,9,8,3,1,3,1,24,6,1
742,-18092327,1,WorkingClass,Right,TrustNone,1,0,0,0,2,2,3,2,3,2,1,15,9,97,2,2,9,3,47,5,7
743,462538607,1,WorkingClass,Center,TrustTrad,0,0,0,1,2,2,2,2,2,1,1,0,4,6,2,1,3,3,41,5,7
744,241675710,3,LowerMiddle,Center,TrustWebOnly,0,0,0,1,1,1,2,1,3,1,3,0,2,8,2,2,2,3,52,1,2
745,48465857,2,WorkingClass,Refused/DNt,TrustNone,0,0,0,0,1,2,2,2,2,2,2,19,2,6,2,1,2,2,76,3,7
746,401670255,1,WorkingClass,Center,TrustNone,0,0,0,1,2,2,2,2,2,1,1,0,3,2,2,2,2,2,97,5,1
747,466245476,3,LowerMiddle,FarRight,TrustAll,0,0,0,1,3,1,1,1,2,1,3,12,2,2,2,1,1,3,51,4,8
748,337978731,3,WorkingClass,Center,TrustAll,0,0,0,1,1,2,1,1,2,1,3,3,9,10,3,1,2,1,60,2,3
749,118217665,2,MiddleClass,Left,TrustTrad,0,0,0,0,3,2,2,1,3,2,2,0,4,8,3,1,3,3,68,1,4
750,299205435,2,MiddleClass,Left,TrustTrad,1,0,0,1,2,1,1,2,2,1,2,20,4,3,3,1,1,3,29,2,7
751,253690043,3,WorkingClass,Center,TrustTrad,0,0,0,1,1,1,1,1,2,1,3,0,2,2,1,1,1,2,74,4,8
752,295639425,1,UpperMiddleClass,Center,TrustTrad,0,0,0,1,2,1,1,1,3,1,1,8,3,3,4,2,3,1,47,5,3
753,225481352,3,MiddleClass,Left,TrustAll,0,0,0,1,1,2,1,1,3,1,3,5,1,5,3,1,2,3,62,2,5
754,295504811,3,UpperMiddleClass,Center,TrustTrad,0,0,0,1,1,2,1,1,2,2,3,17,2,4,3,1,2,2,81,5,1
755,466971847,3,LowerMiddle,Center,TrustAll,0,0,0,1,2,2,2,1,2,1,3,4,3,8,2,1,1,2,17,5,6
756,463310115,3,WorkingClass,Left,TrustNone,0,0,0,1,1,1,2,1,2,1,3,17,3,3,2,1,1,3,70,4,2
757,417113244,3,UpperMiddleClass,Center,TrustNone,0,0,0,1,1,1,2,1,2,2,3,1,2,4,4,1,2,2,60,3,4
758,231246166,3,MiddleClass,Left,TrustTrad,0,0,0,1,1,1,2,1,2,1,3,0,4,3,3,1,1,2,26,2,4
759,344583580,3,UpperMiddleClass,Left,TrustTrad,0,0,0,1,1,1,1,1,2,1,3,0,1,5,2,1,3,2,26,5,1
760,253860155,3,UpperClass,Left,TrustTrad,0,0,0,1,1,1,2,1,1,1,3,7,2,3,4,1,1,2,72,5,5
761,231743893,3,MiddleClass,Center,TrustTrad,0,0,0,1,1,1,2,1,1,1,3,10,2,5,3,2,2,2,63,1,7
762,476242132,2,LowerMiddle,FarLeft,TrustNone,0,0,0,1,2,2,2,2,2,2,2,19,2,3,3,1,3,3,20,5,2
763,46174643,3,LowerMiddle,Left,TrustTrad,0,0,0,1,1,1,2,1,2,1,3,0,2,6,3,1,2,1,67,4,2
764,418794041,3,LowerMiddle,Center,TrustNone,0,0,0,1,2,3,2,2,2,2,3,10,4,2,2,1,1,3,39,5,2
765,457815828,1,MiddleClass,Left,TrustNone,0,0,1,0,2,2,3,2,3,3,1,3,1,6,2,2,2,2,31,3,5
766,474295915,3,MiddleClass,Left,TrustTrad,0,0,0,1,1,1,1,1,2,1,3,4,2,3,2,1,3,3,53,5,2
767,283582519,3,MiddleClass,FarLeft,TrustWebOnly,0,0,0,1,1,1,2,1,2,2,3,0,2,4,3,1,3,2,73,5,6
768,60661561,8,WorkingClass,Refused/DNt,TrustNone,0,0,0,1,1,1,2,2,2,2,8,3,2,97,4,2,2,2,71,6,6
769,101364709,3,MiddleClass,Right,TrustAll,0,0,0,1,1,1,2,1,2,2,3,-1,2,2,4,1,3,2,34,3,8
770,178772733,2,LowerMiddle,Left,TrustNone,0,0,0,0,2,2,2,2,2,2,2,0,3,5,2,1,3,2,40,4,4
771,77377893,3,UpperMiddleClass,Left,TrustTrad,0,0,0,1,1,1,2,1,1,1,3,12,1,3,3,2,1,2,31,4,4
772,475499258,1,WorkingClass,Refused/DNt,TrustWebOnly,1,0,0,0,2,3,3,1,3,3,1,18,9,98,4,1,9,2,55,5,6
773,425013528,3,WorkingClass,Center,TrustTrad,0,0,0,1,1,1,1,1,1,3,3,11,1,6,2,2,1,3,11,4,7
774,430849009,4,UpperClass,Left,TrustTrad,0,0,0,1,2,2,2,1,1,1,4,1,3,6,2,1,2,1,73,4,1
775,243808745,3,MiddleClass,Left,TrustAll,0,0,0,1,1,1,2,1,1,1,3,16,2,3,3,1,3,2,82,1,7
776,401268111,3,WorkingClass,Refused/DNt,TrustNone,0,0,0,0,1,2,1,1,3,3,3,3,1,4,2,2,1,3,79,3,7
777,239189556,3,MiddleClass,Left,TrustTrad,0,0,0,1,1,1,1,1,2,1,3,13,2,6,3,1,3,2,20,3,1
778,300850698,3,MiddleClass,FarRight,TrustTrad,0,0,0,1,2,1,1,1,2,1,3,3,3,6,2,2,1,3,25,4,8
779,248470370,3,UpperMiddleClass,Center,TrustNone,0,0,0,1,2,2,3,2,2,2,3,15,3,1,3,1,2,3,35,5,5
780,275875112,3,MiddleClass,FarLeft,Other,0,0,0,1,1,1,2,1,2,1,3,1,3,9,2,1,1,3,74,3,5
781,53140769,3,UpperMiddleClass,Left,TrustTrad,0,0,0,1,1,1,2,1,2,2,3,19,3,10,3,1,3,2,31,3,4
782,348353033,3,UpperMiddleClass,Center,TrustTrad,0,0,0,1,1,3,2,1,2,2,3,19,3,1,3,2,3,2,95,6,3
783,110753354,3,MiddleClass,FarLeft,TrustTrad,0,0,0,1,1,2,2,1,2,1,3,3,1,2,2,1,1,1,56,2,1
784,214124529,1,LowerMiddle,Center,TrustNone,0,0,0,1,2,2,1,1,3,1,1,4,2,6,3,2,9,1,45,4,1
785,125131796,3,LowerMiddle,Center,TrustWebOnly,0,0,0,1,1,1,1,1,2,1,3,4,4,6,3,1,2,2,7,3,2
